"filename", "language", "Docker", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\droppingout\droppingout.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\droppingout\droppingout.component.ts", "TypeScript", 0, 0, 0, 0, 149, 0, 0, 0, 8, 6, 163
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\engagement-performance\engagement-performance.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\engagement-performance\engagement-performance.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\engagement-performance\engagement-performance.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\engagement-performance\engagement-performance.component.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 70
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\feedback\feedback.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\feedback\feedback.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 6, 3, 29
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\feedback\feedback.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\feedback\feedback.component.ts", "TypeScript", 0, 0, 0, 0, 186, 0, 0, 0, 3, 26, 215
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\final-grade-prediction\final-grade-prediction.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\final-grade-prediction\final-grade-prediction.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\final-grade-prediction\final-grade-prediction.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\final-grade-prediction\final-grade-prediction.component.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 4, 89
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\gamification\gamification.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\gamification\gamification.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\gamification\gamification.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\gamification\gamification.component.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 5, 64
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\group-participation\group-participation.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\group-participation\group-participation.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\group-participation\group-participation.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\group-participation\group-participation.component.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 6, 76
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\initiative\initiative.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\initiative\initiative.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\initiative\initiative.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\initiative\initiative.component.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 9, 95
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behavior-patterns\learning-behavior-patterns.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behavior-patterns\learning-behavior-patterns.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behavior-patterns\learning-behavior-patterns.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behavior-patterns\learning-behavior-patterns.component.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 5, 94
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behaviour\learning-behaviour.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behaviour\learning-behaviour.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behaviour\learning-behaviour.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-behaviour\learning-behaviour.component.ts", "TypeScript", 0, 0, 0, 0, 206, 0, 0, 0, 0, 4, 210
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-progress\learning-progress.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-progress\learning-progress.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-progress\learning-progress.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\learning-progress\learning-progress.component.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 5, 83
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\online-change-detection\online-change-detection.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\online-change-detection\online-change-detection.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\online-change-detection\online-change-detection.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\online-change-detection\online-change-detection.component.ts", "TypeScript", 0, 0, 0, 0, 100, 0, 0, 0, 2, 10, 112
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\passing-rate-prediction\passing-rate-prediction.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\passing-rate-prediction\passing-rate-prediction.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\passing-rate-prediction\passing-rate-prediction.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
